ProblemName,T_default,T_farkasdiving,N_default,N_farkasdiving,DivingSolsMax_default,DivingSolsMax_farkasdiving,FDSols_default,FDSols_farkasdiving,DivingBestSolsMax_default,DivingBestSolsMax_farkasdiving,FDBestSols_default,FDBestSols_farkasdiving,DivingConfsMax_default,DivingConfsMax_farkasdiving,FDConfs_default,FDConfs_farkasdiving,TQ+1_default,TQ+1_farkasdiving,NQ+100_default,NQ+100_farkasdiving
aligninq,28.58,15.42,3044,569,0,0,0,0,0,0,0,0,834,407,0,0,1,0.555104800540906,1,0.212786259541985
app1-2,811.69,614.05,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0.756807638829074,1,1
app1-2,721.53,545.76,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0.756729824367154,1,1
app1-2,1004.06,803.09,42,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0.800041788549937,1,1
app1-2,848.25,631.76,20,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0.74508095378275,1,1
arki001,7200,7200,1201140,1201509,0,0,0,0,0,0,0,0,69,69,0,0,1,1,1,1.000307182578
arki001,7200,7200,1211984,1217612,1,1,0,0,1,1,0,0,222,222,0,0,1,1,1,1.00464324254755
arki001,7200,7200,1092636,1093059,0,0,0,0,0,0,0,0,112,112,0,0,1,1,1,1.00038710173363
arki001,7200,7200,1271142,1274901,1,1,0,0,2,2,0,0,102,102,0,0,1,1,1,1.00295695076154
ash608gpia-3col,32.16,31.93,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.993063932448734,1,1
ash608gpia-3col,26.94,26.89,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.998210450966356,1,1
ash608gpia-3col,17.71,17.89,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00962052378407,1,1
ash608gpia-3col,26.33,26.32,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.999634101719722,1,1
atlanta-ip,7200,7200,15522,16380,0,0,0,0,0,0,0,0,2687,4584,0,30,1,1,1,1.05492254512866
atlanta-ip,7200,7200,14243,17842,0,0,0,0,0,0,0,0,1529,3048,0,0,1,1,1,1.25092379557973
atlanta-ip,7200,7200,13595,10374,0,1,0,0,0,1,0,0,1738,1610,0,0,1,1,1,0.764804673238408
atlanta-ip,7200,7200,12701,16427,0,0,0,0,0,0,0,0,1447,2229,0,0,1,1,1,1.29107101007734
bab5,7200,7200,87901,84925,0,0,0,0,0,0,0,0,3135,1045,0,262,1,1,1,0.966182202474972
bab5,7200,7200,108867,109488,0,1,0,0,0,1,0,0,561,2689,0,2,1,1,1,1.00569897308359
bab5,7200,3806.15,101859,59960,1,3,0,0,1,3,0,0,796,911,0,31,1,0.528697403138453,1,0.5890603085554
bab5,7200,5724.17,84402,75557,0,0,0,0,0,0,0,0,336,2165,0,72,1,0.795052076100542,1,0.895327921232633
bc,830.83,823.31,11703,11703,0,0,0,0,0,0,0,0,11,11,0,0,1,0.990959691283075,1,1
bc,915.83,899.84,11588,11588,0,0,0,0,0,0,0,0,22,22,0,0,1,0.982559471221492,1,1
bc,850.19,840.49,13849,13849,0,0,0,0,0,0,0,0,10,10,0,0,1,0.988604189428917,1,1
bc,839.69,830.57,13103,13103,0,0,0,0,0,0,0,0,3,3,0,0,1,0.989151768190415,1,1
bc1,218.41,219.01,3870,3870,1,1,0,0,1,1,0,0,0,0,0,0,1,1.00273460644456,1,1
bc1,196.52,197.02,4006,4006,0,0,0,0,0,0,0,0,2,2,0,0,1,1.00253138922641,1,1
bc1,170.93,169.57,1600,1600,0,0,0,0,0,0,0,0,0,0,0,0,1,0.992089803989996,1,1
bc1,179.18,179.66,3422,3422,0,0,0,0,0,0,0,0,1,1,0,0,1,1.002664002664,1,1
beasleyC3,45.85,41.76,378,352,0,0,0,122,0,0,0,0,1,14,0,14,1,0.912700106723586,1,0.94560669456067
beasleyC3,54.14,25.94,515,2,1,0,0,109,0,0,0,0,5,25,0,25,1,0.488574537540805,1,0.165853658536585
beasleyC3,44.79,21.82,170,2,0,0,0,128,0,0,0,0,0,63,0,63,1,0.498362087792094,1,0.377777777777778
beasleyC3,16.53,19.37,2,2,0,0,0,39,0,0,0,0,0,8,0,8,1,1.16200798630918,1,1
bell3a,0.7,1.33,2445,4756,15,16,0,11,0,0,0,0,19,55,0,1,1,1.37058823529412,1,1.90805500982318
bell3a,0.62,1.52,2184,5762,12,16,0,11,0,0,0,0,27,58,0,1,1,1.55555555555556,1,2.56654991243433
bell3a,0.83,1.65,3116,5707,15,16,0,11,0,0,0,0,30,57,0,1,1,1.44808743169399,1,1.8056592039801
bell3a,0.81,1.67,2720,5731,15,16,0,11,0,0,0,0,27,49,0,1,1,1.47513812154696,1,2.0677304964539
bell5,0.5,0.5,444,277,28,34,0,17,0,1,0,1,133,65,0,11,1,1,1,0.693014705882353
bell5,0.5,0.5,339,395,18,16,0,43,0,6,0,6,10,10,0,5,1,1,1,1.12756264236902
bell5,0.5,0.5,196,291,24,19,0,40,1,3,0,3,22,54,0,32,1,1,1,1.32094594594595
bell5,0.5,0.5,451,126,28,12,0,36,0,1,0,1,144,11,0,11,1,1,1,0.41016333938294
biella1,1249.94,1254.3,8151,4893,1,1,0,0,1,1,0,0,109,446,0,0,1,1.003485378995,1,0.605138771058054
biella1,948.57,474.64,5091,1746,0,0,0,0,1,0,0,0,58,148,0,0,1,0.500900407552892,1,0.355615488345213
biella1,821.51,778.18,1975,3326,0,0,0,0,0,0,0,0,310,316,0,0,1,0.947319789425053,1,1.6510843373494
biella1,1016.26,458.95,4551,1489,0,0,0,0,0,0,0,0,296,280,0,0,1,0.452145960718007,1,0.341646957643518
bienst1,121.81,122.54,16090,16090,3,3,0,0,3,3,0,0,39,39,0,0,1,1.00594414135657,1,1
bienst1,95.33,95.3,9901,9901,1,1,0,0,1,1,0,0,20,20,0,0,1,0.999688570538773,1,1
bienst1,98.5,98.75,9304,9304,1,1,0,0,1,1,0,0,53,53,0,0,1,1.00251256281407,1,1
bienst1,115.57,116.17,15248,15248,1,1,0,0,1,1,0,0,28,28,0,0,1,1.005147121901,1,1
bienst2,516.44,519.88,62497,62497,4,4,0,0,4,4,0,0,21,21,0,0,1,1.00664811379097,1,1
bienst2,586.82,588.93,81035,81035,0,0,0,0,0,0,0,0,11,11,0,0,1,1.00358953421115,1,1
bienst2,471.76,474.68,62789,62789,2,2,0,0,2,2,0,0,23,23,0,0,1,1.00617649547339,1,1
bienst2,455.83,458.68,60072,60072,1,1,0,0,3,3,0,0,11,11,0,0,1,1.00623864457238,1,1
binkar10_1,25.43,21.85,2435,1867,1,1,0,1,1,1,0,1,12,34,0,34,1,0.864547862277715,1,0.775936883629191
binkar10_1,37.03,41.13,2686,3693,0,1,0,1,0,1,0,1,26,137,0,137,1,1.10780962398107,1,1.36145010768126
binkar10_1,21.76,34.29,1927,2654,2,0,0,1,2,1,0,1,18,152,0,152,1,1.55052724077329,1,1.35865811544154
binkar10_1,35.34,33.82,4380,3972,1,0,0,1,1,1,0,1,34,224,0,224,1,0.958172812328013,1,0.908928571428571
