ProblemName,T_default,T_farkasdiving,T_farkasdiving-no-confs,T_farkasdiving-no-sols,N_default,N_farkasdiving,N_farkasdiving-no-confs,N_farkasdiving-no-sols,DivingSolsMax_default,DivingSolsMax_farkasdiving,DivingSolsMax_farkasdiving-no-confs,DivingSolsMax_farkasdiving-no-sols,FDSols_default,FDSols_farkasdiving,FDSols_farkasdiving-no-confs,FDSols_farkasdiving-no-sols,DivingBestSolsMax_default,DivingBestSolsMax_farkasdiving,DivingBestSolsMax_farkasdiving-no-confs,DivingBestSolsMax_farkasdiving-no-sols,FDBestSols_default,FDBestSols_farkasdiving,FDBestSols_farkasdiving-no-confs,FDBestSols_farkasdiving-no-sols,DivingConfsMax_default,DivingConfsMax_farkasdiving,DivingConfsMax_farkasdiving-no-confs,DivingConfsMax_farkasdiving-no-sols,FDConfs_default,FDConfs_farkasdiving,FDConfs_farkasdiving-no-confs,FDConfs_farkasdiving-no-sols,TQ+1_default,TQ+1_farkasdiving,TQ+1_farkasdiving-no-confs,TQ+1_farkasdiving-no-sols,NQ+100_default,NQ+100_farkasdiving,NQ+100_farkasdiving-no-confs,NQ+100_farkasdiving-no-sols
cap6000,2.87,3.39,3.24,2.84,1978,2014,1856,1878,15,13,12,7,0,66,26,0,0,0,0,0,0,0,0,0,65,74,62,72,0,74,0,72,1,1.1343669250646,1.09560723514212,0.992248062015504,1,1.01732435033686,0.941289701636189,0.951876804619827
cap6000,2.65,3.66,3.43,3.58,1668,2486,2559,2486,12,6,25,8,0,67,27,0,1,0,0,0,0,0,0,0,66,69,87,69,0,69,0,69,1,1.27671232876712,1.21369863013699,1.25479452054795,1,1.46266968325792,1.5039592760181,1.46266968325792
cap6000,3.1,3.66,3.47,3.61,2113,2205,2451,2205,20,10,22,12,0,64,27,0,0,0,0,0,0,0,0,0,51,100,47,100,0,100,0,100,1,1.13658536585366,1.09024390243902,1.12439024390244,1,1.04157252598283,1.15273384545865,1.04157252598283
cap6000,3.18,3.09,3.34,2.97,2086,1646,2406,1646,22,16,27,20,0,63,28,0,1,0,0,0,0,0,0,0,50,97,43,97,0,97,0,97,1,0.978468899521531,1.03827751196172,0.949760765550239,1,0.79871912168344,1.14638609332113,0.79871912168344
dcmulti,2.22,1.51,1.65,1.61,82,118,165,123,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,14,0,14,0,14,0,14,1,0.779503105590062,0.822981366459627,0.81055900621118,1,1.1978021978022,1.45604395604396,1.22527472527473
dfn-gwin-UUM,143.1,89.58,83.77,90.41,39424,21399,18236,21173,87,30,43,43,0,103,104,0,8,5,6,9,0,5,5,0,13,29,14,20,0,27,0,13,1,0.628591256072172,0.588272033310201,0.634351145038168,1,0.543947980973586,0.463920655804068,0.538229936241271
dfn-gwin-UUM,96.16,82.05,80.24,88.05,24607,19496,19471,21407,106,22,31,91,0,112,103,0,7,3,6,3,0,2,2,0,98,84,6,70,0,12,0,70,1,0.854775627830383,0.836146562371346,0.916529435981886,1,0.793135548629943,0.792123689642611,0.870482049621565
dfn-gwin-UUM,121.8,127.31,118.51,146.92,32723,34489,29139,37590,98,34,96,47,0,91,98,0,4,6,7,5,0,4,4,0,16,25,21,34,0,22,0,7,1,1.04486970684039,0.973208469055375,1.20456026058632,1,1.05380373518569,0.890808274685434,1.14828016939341
dfn-gwin-UUM,96.94,96.34,85.15,90.8,23175,25789,22857,22316,92,78,45,65,0,99,107,0,4,8,6,6,0,5,5,0,18,28,33,32,0,23,0,10,1,0.993873800285889,0.879620175617725,0.937308556258934,1,1.11230934479055,0.986337271750806,0.963093447905478
eil33-2,76.61,62.38,62.94,82.25,653,603,603,693,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.816647339260405,0.823862904264914,1.07267104754542,1,0.933598937583001,0.933598937583001,1.0531208499336
eil33-2,66.79,81.77,82.57,81.16,665,741,741,653,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.22097654521316,1.23277769582534,1.21197816787137,1,1.09934640522876,1.09934640522876,0.984313725490196
eil33-2,75.19,64.87,64.51,67.98,677,517,517,651,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.864549153432209,0.859824123900774,0.905368158550991,1,0.794079794079794,0.794079794079794,0.966537966537966
eil33-2,80.46,63.02,63.06,72.4,629,603,603,681,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.785907193714707,0.786398232261233,0.901055732875031,1,0.964334705075446,0.964334705075446,1.07133058984911
eilB101,466.6,327.23,331.11,272.58,13787,9255,9255,7230,4,0,0,0,0,5,5,0,0,1,1,0,0,1,1,0,13,8,5,5,0,8,0,0,1,0.701946107784431,0.71024379811805,0.585072711719418,1,0.67365161661986,0.67365161661986,0.527831785122777
eilB101,432.96,461.51,481.58,475.42,10965,12556,13684,13324,0,3,3,1,0,4,4,0,0,0,0,0,0,0,0,0,71,39,4,10,0,39,0,4,1,1.06578947368421,1.11203797585031,1.09784311918149,1,1.1437867148667,1.24572977858111,1.21319475824672
eilB101,375.87,528.13,488.5,315.6,10774,16616,14447,9004,5,2,1,0,0,5,8,0,0,1,1,0,0,1,1,0,14,69,18,24,0,69,0,18,1,1.40401199352562,1.29885636957041,0.840077480298246,1,1.53724480411992,1.33777818649991,0.837226411624057
eilB101,497.08,343.99,340.19,311.1,15515,10412,10412,8388,0,0,0,0,0,5,5,0,0,1,1,0,0,1,1,0,38,8,5,5,0,8,0,0,1,0.6926397365885,0.685010440089945,0.626606167683906,1,0.673198847262248,0.673198847262248,0.543579891130323
fast0507,268.91,148.86,149.9,125.86,1067,726,730,605,11,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5,0,0,1,0.555222111074062,0.559075247304657,0.470008521358971,1,0.707797772065124,0.711225364181662,0.604113110539846
fast0507,168.78,166.87,166.75,159.2,667,839,839,803,9,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,1,8,3,1,0,8,0,0,1,0.988750147249382,0.988043350217929,0.943574036989044,1,1.22425032594524,1.22425032594524,1.17731421121252
fast0507,160.64,136.65,136.8,146.03,737,618,622,682,15,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,1,5,1,3,0,5,0,0,1,0.851583766394457,0.852511754516209,0.909613956941351,1,0.857825567502987,0.862604540023895,0.934289127837515
fast0507,192.3,221.89,218.64,148.91,930,1065,1065,739,20,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,3,43,4,1,0,43,0,0,1,1.15307811691671,1.13626487325401,0.775530263838593,1,1.13106796116505,1.13106796116505,0.814563106796116
fixnet6,4.48,5.31,4.81,4.78,3,4,3,3,0,0,0,0,0,34,36,0,0,1,1,0,0,1,1,0,0,8,0,0,0,8,0,0,1,1.1514598540146,1.06021897810219,1.05474452554745,1,1.00970873786408,1,1
fixnet6,5.82,5.26,5.1,5.16,4,3,4,3,0,0,0,0,0,22,26,0,0,0,0,0,0,0,0,0,0,13,0,2,0,13,0,2,1,0.917888563049853,0.894428152492668,0.903225806451613,1,0.990384615384615,1,0.990384615384615
fixnet6,6.18,4.83,4.93,4.79,4,3,3,3,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,4,0,2,0,4,0,2,1,0.811977715877437,0.825905292479109,0.806406685236769,1,0.990384615384615,0.990384615384615,0.990384615384615
fixnet6,4.55,4.61,4.55,4.57,3,2,2,2,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,1,1.01081081081081,1,1.0036036036036,1,0.990291262135922,0.990291262135922,0.990291262135922
gesa2,0.5,0.5,0.51,0.5,2,2,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.00666666666667,1,1,1,1,1
gesa2,0.5,0.53,0.55,0.55,2,2,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.02,1.03333333333333,1.03333333333333,1,1,1,1
gesa2-o,0.5,0.6,0.6,0.57,2,1,2,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,10,0,10,0,10,0,10,1,1.06666666666667,1.06666666666667,1.04666666666667,1,0.990196078431373,1,0.990196078431373
gesa2-o,0.59,0.71,0.72,0.68,2,2,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,3,0,3,0,3,0,3,1,1.07547169811321,1.08176100628931,1.05660377358491,1,1,1,1
gesa3,6.82,5.53,7.44,5.33,10,7,8,6,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,58,0,54,0,58,0,54,1,0.835038363171356,1.07928388746803,0.809462915601023,1,0.972727272727273,0.981818181818182,0.963636363636364
gesa3,5.48,5.72,7.29,5.57,7,6,12,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,98,0,69,0,98,0,69,1,1.03703703703704,1.27932098765432,1.01388888888889,1,0.990654205607477,1.04672897196262,1
