ProblemName,Seed,T_coefdiving,T_conflictdiving-no-coefdiving,T_conflictdiving-no-coefdiving-no-confs,T_conflictdiving-no-coefdiving-no-sols,T_no-coefdiving,N_coefdiving,N_conflictdiving-no-coefdiving,N_conflictdiving-no-coefdiving-no-confs,N_conflictdiving-no-coefdiving-no-sols,N_no-coefdiving,CoefSols_coefdiving,CoefSols_conflictdiving-no-coefdiving,CoefSols_conflictdiving-no-coefdiving-no-confs,CoefSols_conflictdiving-no-coefdiving-no-sols,CoefSols_no-coefdiving,ConfSols_coefdiving,ConfSols_conflictdiving-no-coefdiving,ConfSols_conflictdiving-no-coefdiving-no-confs,ConfSols_conflictdiving-no-coefdiving-no-sols,ConfSols_no-coefdiving,CoefBestSols_coefdiving,CoefBestSols_conflictdiving-no-coefdiving,CoefBestSols_conflictdiving-no-coefdiving-no-confs,CoefBestSols_conflictdiving-no-coefdiving-no-sols,CoefBestSols_no-coefdiving,ConfBestSols_coefdiving,ConfBestSols_conflictdiving-no-coefdiving,ConfBestSols_conflictdiving-no-coefdiving-no-confs,ConfBestSols_conflictdiving-no-coefdiving-no-sols,ConfBestSols_no-coefdiving,CoefConfs_coefdiving,CoefConfs_conflictdiving-no-coefdiving,CoefConfs_conflictdiving-no-coefdiving-no-confs,CoefConfs_conflictdiving-no-coefdiving-no-sols,CoefConfs_no-coefdiving,ConfConfs_coefdiving,ConfConfs_conflictdiving-no-coefdiving,ConfConfs_conflictdiving-no-coefdiving-no-confs,ConfConfs_conflictdiving-no-coefdiving-no-sols,ConfConfs_no-coefdiving,CoefAvgDepth_coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving-no-confs,CoefAvgDepth_conflictdiving-no-coefdiving-no-sols,CoefAvgDepth_no-coefdiving,ConfAvgDepth_coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving-no-confs,ConfAvgDepth_conflictdiving-no-coefdiving-no-sols,ConfAvgDepth_no-coefdiving,TQ+1_coefdiving,TQ+1_conflictdiving-no-coefdiving,TQ+1_conflictdiving-no-coefdiving-no-confs,TQ+1_conflictdiving-no-coefdiving-no-sols,TQ+1_no-coefdiving,NQ+100_coefdiving,NQ+100_conflictdiving-no-coefdiving,NQ+100_conflictdiving-no-coefdiving-no-confs,NQ+100_conflictdiving-no-coefdiving-no-sols,NQ+100_no-coefdiving
30n20b8,3,281.33,638.2,422.11,644.51,237.21,174,588,533,588,126,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,77,0,77,0,79.3,0,0,0,0,0,41.5,33.7,41.5,0,1.18521472650183,2.68334662692582,1.77620586877125,2.70983585911591,1,1.21238938053097,3.04424778761062,2.80088495575221,3.04424778761062,1
30n20b8,4,683.78,641.33,430.72,676.04,468.52,331,373,199,453,284,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,19,0,0,0,0,0,15,0,15,0,140,0,0,0,0,0,41.8,37,41.8,0,1.45846822286591,1.36805673879707,0.919492247401602,1.44198330209576,1,1.12239583333333,1.23177083333333,0.778645833333333,1.44010416666667,1
Test3,0,5.52,5.66,5.44,5.49,5.69,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974588938714499,0.995515695067265,0.962630792227205,0.970104633781764,1,1,1,1,1,1
Test3,1,5.46,5.42,5.41,5.45,5.41,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00780031201248,1.0015600624025,1,1.00624024960998,1,1,1,1,1,1
Test3,3,5.44,5.49,5.48,5.52,5.48,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993827160493827,1.00154320987654,1,1.00617283950617,1,1,1,1,1,1
Test3,4,5.04,5.02,5.04,5.04,5.06,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996699669966997,0.993399339933993,0.996699669966997,0.996699669966997,1,1,1,1,1,1
a1c1s1,0,7200,7200,7200,7200,7200,163793,164552,169669,161151,139641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,4,0,4,0,54.6,0,0,0,0,0,27.8,55.1,27.8,0,1,1,1,1,1,1.17283402866732,1.17826550547084,1.21488324829506,1.15392762324586,1
a1c1s1,1,7200,7200,7200,7200,7200,163660,201514,177879,200414,162719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,5,0,36,0,0,0,0,0,35.6,23,35.6,0,1,1,1,1,1,1.00577942377732,1.23827071779092,1.09310952652946,1.23151474950712,1
a1c1s1,3,7200,7200,7200,7200,7200,179111,183541,169560,182716,158245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,2,0,37.1,0,0,0,0,0,37.2,33.4,37.2,0,1,1,1,1,1,1.13177555338028,1.15975243929395,1.07145789257634,1.15454229688339,1
a1c1s1,4,7200,7200,7200,7200,7200,150201,137176,148694,141798,161284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,6,0,48.9,0,0,0,0,0,31.7,35.2,31.7,0,1,1,1,1,1,0.931325286273732,0.85061716155257,0.921987309770485,0.879256927576463,1
acc-tight5,0,129.56,121.77,184.2,122.09,135.28,744,627,1015,627,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,231,0,231,0,23.5,0,0,0,0,0,25.5,24.1,25.5,0,0.958027590255357,0.90086586439683,1.3589668329909,0.903213971235691,1,0.811538461538461,0.699038461538462,1.07211538461538,0.699038461538462,1
acc-tight5,1,62.61,118.58,94.78,119.07,132.71,159,558,396,558,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,149,0,149,0,19.5,0,0,0,0,0,25.3,23.3,25.3,0,0.475731059756189,0.894323536010769,0.7163263779822,0.897988183381946,1,0.322139303482587,0.818407960199005,0.616915422885572,0.818407960199005,1
acc-tight5,3,199.86,146.79,84.67,147.4,118.47,1168,901,310,901,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,339,0,339,0,25.3,0,0,0,0,0,25.7,28.2,25.7,0,1.68125889344605,1.23704695739516,0.717083786724701,1.24215284171759,1,2.12040133779264,1.67391304347826,0.68561872909699,1.67391304347826,1
acc-tight5,4,119.93,130.44,196.4,133.35,109.32,645,717,1523,726,599,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,199,0,0,0,0,0,243,0,243,0,21.6,0,0,0,0,0,20.1,21.7,20.1,0,1.09617476432197,1.19144307469181,1.78934010152284,1.21782088469906,1,1.06580829756795,1.16881258941345,2.32188841201717,1.18168812589413,1
aflow30a,0,27.98,29.36,26.48,29.38,34.31,873,735,805,735,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,31,22,31,0,0.820730671197961,0.859813084112149,0.778249787595582,0.860379495893514,1,1.1433607520564,0.981198589894242,1.06345475910693,0.981198589894242,1
aflow30a,1,23.59,25.28,18.38,25.77,24.9,503,1046,554,1046,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94942084942085,1.01467181467181,0.748262548262548,1.03359073359073,1,0.526178010471204,1,0.570680628272251,1,1
aflow30a,3,25.84,25.88,27.22,25.77,22,582,657,605,657,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16695652173913,1.16869565217391,1.22695652173913,1.16391304347826,1,1.19022687609075,1.32111692844677,1.2303664921466,1.32111692844677,1
aflow30a,4,17.96,22.63,24.39,23.16,19.7,715,770,613,770,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915942028985507,1.14154589371981,1.22657004830918,1.16714975845411,1,1.4198606271777,1.51567944250871,1.24216027874564,1.51567944250871,1
aflow40b,0,898.53,555.91,1332.63,555.62,791.72,24637,20128,32893,20128,23244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,26,0,26,0,33.8,0,0,0,0,0,82.2,78.9,82.2,0,1.13473862145524,0.702530527803007,1.68234685639318,0.702164698758704,1,1.05967272104181,0.866518163125428,1.41333961617546,0.866518163125428,1
aflow40b,1,732.92,770.96,528.86,802.41,389.9,19980,18675,15969,18573,7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,28,0,28,0,26.1,0,0,0,0,0,74,75.4,74,0,1.8775134305449,1.97482732156562,1.35548733691481,2.05528268099258,1,2.48946193900322,2.32767170840565,1.99218943714357,2.31502603520952,1
aflow40b,3,704.57,781.95,471.97,776.41,485.01,22701,19320,13516,19320,10919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,46,0,46,0,30.1,0,0,0,0,0,55.4,62.7,55.4,0,1.45176025184667,1.61097508281723,0.973169276352338,1.59957614040863,1,2.06924403303385,1.76241038206734,1.23568381885834,1.76241038206734,1
aflow40b,4,491.06,598.84,610.39,597.99,729.31,9715,16816,20714,16816,28492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,64.4,62,64.4,0,0.673768673576974,0.821349837740138,0.837165039503772,0.820185948432857,1,0.343277839955232,0.591634023503078,0.727965864577504,0.591634023503078,1
air03,0,2.42,2.72,2.53,2.28,2.57,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957983193277311,1.04201680672269,0.988795518207283,0.918767507002801,1,1,1,1,1,1
air03,1,2.24,2.25,2.53,2.26,2.33,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972972972972973,0.975975975975976,1.06006006006006,0.978978978978979,1,1,1,1,1,1
air03,3,2.31,2.27,2.29,2.68,2.28,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00914634146341,0.996951219512195,1.00304878048781,1.1219512195122,1,1,1,1,1,1
air03,4,2.24,2.26,2.26,2.72,2.27,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990825688073394,0.996941896024465,0.996941896024465,1.13761467889908,1,1,1,1,1,1
air04,0,49.31,49.01,48.82,49.04,49.07,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00479328939485,0.998801677651288,0.995006990213701,0.999400838825644,1,1,1,1,1,1
air04,1,60.8,59.9,60.5,60.01,60.59,192,192,192,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,11,0,37,0,0,0,0,0,58,58,58,0,1.0034096444228,0.988796882610813,0.998538723818802,0.990582886832278,1,1,1,1,1,1
air04,3,47.22,47.17,47.74,47.33,47.16,107,107,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,11,0,49,0,0,0,0,0,35,48,35,0,1.00124584717608,1.00020764119601,1.01204318936877,1.00352990033223,1,1,1,1,1,1
air04,4,72.11,70.79,74.11,71.01,71.13,315,290,315,290,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,30,0,0,0,0,0,30,30,30,0,1.0135865797865,0.995286288645501,1.04131429363649,0.998336337169,1,1.48745519713262,1.39784946236559,1.48745519713262,1.39784946236559,1
air05,0,46.94,43.67,44.15,43.61,33.47,798,663,663,663,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,221,221,221,0,1.39077458659704,1.29590948651001,1.30983463881636,1.29416884247171,1,2.0316742081448,1.7262443438914,1.7262443438914,1.7262443438914,1
air05,1,44.82,44.61,44.76,44.79,44.81,743,743,743,743,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00021829294914,0.995634141017245,0.998908535254311,0.999563414101724,1,1,1,1,1,1
air05,3,34.68,34.91,35.34,34.84,34.77,422,422,422,422,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99748392507688,1.00391389432485,1.01593514117976,1.00195694716243,1,1,1,1,1,1
air05,4,29.88,30.02,32.15,29.89,29.86,160,160,160,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00064808813999,1.0051847051199,1.07420609202852,1.00097213220998,1,1,1,1,1,1
aligninq,0,42.73,28.87,27.52,29.44,29.66,3320,1751,1379,1751,1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,94,0,94,0,64.1,0,0,0,0,0,96.8,74.5,96.8,0,1.4262883235486,0.97423352902805,0.930202217873451,0.992824527071102,1,2.15500945179584,1.16635160680529,0.931947069943289,1.16635160680529,1
aligninq,1,37.51,39.29,27.22,39.59,18.71,2875,2602,25,2602,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783,0,0,0,0,0,203,0,203,0,85.5,0,0,0,0,0,76.5,0,76.5,0,1.95383054287164,2.0441400304414,1.43176052765094,2.05936073059361,1,4.35578330893119,3.95607613469985,0.183016105417277,3.95607613469985,1
aligninq,3,29.71,22.72,23.75,23.32,33.95,1700,1097,1097,1097,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,0,70.5,0,0,0,0,0,65,65,65,0,0.878683834048641,0.678683834048641,0.708154506437768,0.69585121602289,1,0.87890625,0.58447265625,0.58447265625,0.58447265625,1
aligninq,4,38.9,26.57,27.35,26.73,36.68,3044,1782,1565,1782,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,99,0,99,0,58.1,0,0,0,0,0,76,93,76,0,1.05891719745223,0.731687898089172,0.752388535031847,0.735934182590234,1,1.19316888045541,0.714231499051233,0.631878557874763,0.714231499051233,1
