ProblemName,T_coefdiving,T_conflictdiving-no-coefdiving,T_no-coefdiving,N_coefdiving,N_conflictdiving-no-coefdiving,N_no-coefdiving,CoefSols_coefdiving,CoefSols_conflictdiving-no-coefdiving,CoefSols_no-coefdiving,ConfSols_coefdiving,ConfSols_conflictdiving-no-coefdiving,ConfSols_no-coefdiving,CoefBestSols_coefdiving,CoefBestSols_conflictdiving-no-coefdiving,CoefBestSols_no-coefdiving,ConfBestSols_coefdiving,ConfBestSols_conflictdiving-no-coefdiving,ConfBestSols_no-coefdiving,CoefConfs_coefdiving,CoefConfs_conflictdiving-no-coefdiving,CoefConfs_no-coefdiving,ConfConfs_coefdiving,ConfConfs_conflictdiving-no-coefdiving,ConfConfs_no-coefdiving,CoefAvgDepth_coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving,CoefAvgDepth_no-coefdiving,ConfAvgDepth_coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving,ConfAvgDepth_no-coefdiving,TQ+1_coefdiving,TQ+1_conflictdiving-no-coefdiving,TQ+1_no-coefdiving,NQ+100_coefdiving,NQ+100_conflictdiving-no-coefdiving,NQ+100_no-coefdiving
acc-tight5,199.86,146.79,118.47,1168,901,498,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,339,0,25.3,0,0,0,25.7,0,1.68125889344605,1.23704695739516,1,2.12040133779264,1.67391304347826,1
acc-tight5,119.93,130.44,109.32,645,717,599,0,0,0,0,1,0,0,0,0,0,1,0,199,0,0,0,243,0,21.6,0,0,0,20.1,0,1.09617476432197,1.19144307469181,1,1.06580829756795,1.16881258941345,1
aflow30a,27.98,29.36,34.31,873,735,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,31,0,0.820730671197961,0.859813084112149,1,1.1433607520564,0.981198589894242,1
aflow30a,23.59,25.28,24.9,503,1046,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94942084942085,1.01467181467181,1,0.526178010471204,1,1
aflow30a,25.84,25.88,22,582,657,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16695652173913,1.16869565217391,1,1.19022687609075,1.32111692844677,1
aflow30a,17.96,22.63,19.7,715,770,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915942028985507,1.14154589371981,1,1.4198606271777,1.51567944250871,1
aflow40b,898.53,555.91,791.72,24637,20128,23244,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,26,0,33.8,0,0,0,82.2,0,1.13473862145524,0.702530527803007,1,1.05967272104181,0.866518163125428,1
aflow40b,732.92,770.96,389.9,19980,18675,7966,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,28,0,26.1,0,0,0,74,0,1.8775134305449,1.97482732156562,1,2.48946193900322,2.32767170840565,1
aflow40b,704.57,781.95,485.01,22701,19320,10919,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,46,0,30.1,0,0,0,55.4,0,1.45176025184667,1.61097508281723,1,2.06924403303385,1.76241038206734,1
aflow40b,491.06,598.84,729.31,9715,16816,28492,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,24,0,0,0,64.4,0,0.673768673576974,0.821349837740138,1,0.343277839955232,0.591634023503078,1
air03,2.42,2.72,2.57,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957983193277311,1.04201680672269,1,1,1,1
air03,2.24,2.25,2.33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972972972972973,0.975975975975976,1,1,1,1
air03,2.31,2.27,2.28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00914634146341,0.996951219512195,1,1,1,1
air03,2.24,2.26,2.27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990825688073394,0.996941896024465,1,1,1,1
air04,49.31,49.01,49.07,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00479328939485,0.998801677651288,1,1,1,1
air04,60.8,59.9,60.59,192,192,192,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,0,37,0,0,0,58,0,1.0034096444228,0.988796882610813,1,1,1,1
air04,47.22,47.17,47.16,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,49,0,0,0,35,0,1.00124584717608,1.00020764119601,1,1,1,1
air04,72.11,70.79,71.13,315,290,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,30,0,0,0,30,0,1.0135865797865,0.995286288645501,1,1.48745519713262,1.39784946236559,1
air05,46.94,43.67,33.47,798,663,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,221,0,1.39077458659704,1.29590948651001,1,2.0316742081448,1.7262443438914,1
air05,44.82,44.61,44.81,743,743,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00021829294914,0.995634141017245,1,1,1,1
air05,34.68,34.91,34.77,422,422,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99748392507688,1.00391389432485,1,1,1,1
air05,29.88,30.02,29.86,160,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00064808813999,1.0051847051199,1,1,1,1
aligninq,42.73,28.87,29.66,3320,1751,1487,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,94,0,64.1,0,0,0,96.8,0,1.4262883235486,0.97423352902805,1,2.15500945179584,1.16635160680529,1
aligninq,37.51,39.29,18.71,2875,2602,583,0,0,0,0,0,0,0,0,0,0,0,0,1783,0,0,0,203,0,85.5,0,0,0,76.5,0,1.95383054287164,2.0441400304414,1,4.35578330893119,3.95607613469985,1
aligninq,29.71,22.72,33.95,1700,1097,1948,0,0,0,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0,70.5,0,0,0,65,0,0.878683834048641,0.678683834048641,1,0.87890625,0.58447265625,1
aligninq,38.9,26.57,36.68,3044,1782,2535,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,99,0,58.1,0,0,0,76,0,1.05891719745223,0.731687898089172,1,1.19316888045541,0.714231499051233,1
app1-2,924.61,927.78,927.49,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996898189533544,1.00031233508169,1,1,1,1
